RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA01-0000000001,White,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000002,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000003,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000004,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000005,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000006,Black or African American,School/college,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000007,Black or African American,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000008,Unknown,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA01-0000000009,Unknown,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000010,Unknown,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation
CA01-0000000011,Unknown,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000012,Unknown,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religion
CA01-0000000013,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000014,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000015,Black or African American,School/college,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000016,Black or African American,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000017,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000018,Black or African American,Restaurant,Anti-Gay (Male),Sexual Orientation
CA01-0000000019,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000020,Unknown,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000021,Black or African American,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000022,Black or African American,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000023,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000024,Black or African American,Grocery/Supermarket,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000025,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000026,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000027,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000028,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000029,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000030,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000031,Unknown,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000032,White,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000033,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000034,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000035,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000036,Unknown,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000037,Unknown,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000038,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000039,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000040,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000041,Unknown,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000042,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000043,White,Service/Gas Station,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000044,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000045,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000046,Unknown,Church/Synagogue/Temple,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000047,Asian/Pacific Islander,Department/Discount Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000048,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000049,Black or African American,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000050,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000051,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000052,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA01-0000000053,Unknown,School/college,Anti-Jewish,Religion
CA01-0000000054,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000055,White,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000056,Black or African American,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000057,White,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000058,Black or African American,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000059,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000060,Unknown,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000061,Unknown,Field/Woods/Park,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000062,Unknown,School/college,Anti-Gay (Male),Sexual Orientation
CA01-0000000063,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000064,Unknown,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000065,White,Church/Synagogue/Temple,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000066,Black or African American,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000067,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000068,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000069,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000070,Unknown,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000071,Unknown,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA01-0000000072,Unknown,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000073,Unknown,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000074,Unknown,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000075,Black or African American,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000076,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000077,Black or African American,School/college,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000078,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000079,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000080,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000081,Black or African American,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000082,White,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000083,White,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000084,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000085,White,Government/Public Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000086,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000087,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000088,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000089,White,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000090,White,Construction Site,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000091,Black or African American,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000092,Asian/Pacific Islander,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000093,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000094,Unknown,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000095,White,Service/Gas Station,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000096,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000097,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000098,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000099,White,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000100,White,Grocery/Supermarket,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000101,Unknown,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000102,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000103,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000104,White,Hotel/Motel/etc.,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000105,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000106,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000107,Unknown,School/college,Anti-Lesbian,Sexual Orientation
CA01-0000000108,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000109,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000110,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000111,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000112,Unknown,Specialty Store (TV/Fur/etc.),Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000113,Unknown,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA01-0000000114,White,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA01-0000000115,Unknown,Residence/Home/Driveway,Anti-Lesbian,Sexual Orientation
CA01-0000000116,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000117,Unknown,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000118,Unknown,Specialty Store (TV/Fur/etc.),Anti-Jewish,Religion
CA01-0000000119,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000120,White,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000121,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA01-0000000122,Black or African American,Air/Bus/Train Terminal,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000123,White,Residence/Home/Driveway,Anti-Lesbian,Sexual Orientation
CA01-0000000124,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000125,White,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA01-0000000126,White,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA01-0000000127,White,Field/Woods/Park,Anti-Islamic (Muslim),Religion
CA01-0000000128,Unknown,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000129,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000130,White,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000131,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000132,White,Commercial/Office Building,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA01-0000000133,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000134,Unknown,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA01-0000000135,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000136,Unknown,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000137,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000138,White,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA01-0000000139,Black or African American,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000140,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000141,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000142,Unknown,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000143,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000144,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000145,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000146,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000147,Unknown,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000148,White,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000149,White,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000150,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000151,Unknown,Convenience Store,Anti-Islamic (Muslim),Religion
CA01-0000000152,White,Field/Woods/Park,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000153,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000154,Unknown,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000155,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000156,Unknown,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000157,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000158,White,Residence/Home/Driveway,Anti-American Indian/Alaska Native,Race/Ethnicity/Ancestry
CA01-0000000159,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000160,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000161,White,Jail/Prison,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000162,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000163,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000164,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000165,White,School/college,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000166,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000167,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000168,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000169,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000170,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000171,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000172,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000173,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000174,Black or African American,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000175,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000176,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000177,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000178,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000179,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA01-0000000180,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000181,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000182,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000183,White,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000184,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000185,Black or African American,School/college,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000186,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000187,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000188,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000189,White,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000190,White,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000191,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000192,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000193,Unknown,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000194,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000195,White,School/college,Anti-Bisexual,Sexual Orientation
CA01-0000000196,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000197,White,Service/Gas Station,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000198,Black or African American,Jail/Prison,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000199,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000200,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000201,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000202,White,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000203,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000204,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000205,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000206,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000207,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000208,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000209,Unknown,Specialty Store (TV/Fur/etc.),Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000210,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000211,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000212,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000213,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000214,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000215,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000216,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000217,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000218,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000219,White,School/college,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000220,Black or African American,School/college,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000221,Unknown,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000222,White,Specialty Store (TV/Fur/etc.),Anti-Gay (Male),Sexual Orientation
CA01-0000000223,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000224,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000225,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000226,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000227,Unknown,Specialty Store (TV/Fur/etc.),Anti-Islamic (Muslim),Religion
CA01-0000000228,Unknown,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000229,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000230,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000231,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000232,White,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000233,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000234,White,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000235,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000236,Black or African American,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000237,Unknown,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000238,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000239,White,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000240,Unknown,Church/Synagogue/Temple,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000241,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000242,White,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000243,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000244,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000245,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000246,White,Service/Gas Station,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000247,Unknown,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA01-0000000248,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000249,Unknown,Church/Synagogue/Temple,Anti-Multiple Religions (Group),Religion
CA01-0000000250,White,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000251,White,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000252,White,School/college,Anti-Gay (Male),Sexual Orientation
CA01-0000000253,Unknown,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000254,Unknown,School/college,Anti-Gay (Male),Sexual Orientation
CA01-0000000255,Black or African American,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000256,Unknown,School/college,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000257,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000258,Unknown,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000259,Unknown,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000260,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA01-0000000261,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000262,White,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000263,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000264,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000265,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000266,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000267,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000268,White,Convenience Store,Anti-Islamic (Muslim),Religion
CA01-0000000269,White,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
