RecordID,MonthOccurrence,SuspectsRaceAsAGroup,MostSeriousUCR,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000013478,1,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000013482,1,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000013496,1,Group of Multiple Races,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013690,3,White,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000013729,4,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000013874,5,Unknown,Intimidation,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000013889,6,White,Simple Assault,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014216,7,Unknown,Intimidation,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000014229,8,White,Simple Assault,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014233,8,Black or African American,Intimidation,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA00-0000014619,9,White,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000014631,10,White,Simple Assault,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation
CA00-0000014640,10,Unknown,Destruction/Damage/Vandalism,Drug Store/Dr Office/Hospital,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014661,11,Unknown,Intimidation,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014879,12,Unknown,Intimidation,Bar/Night Club,Anti-Gay (Male),Sexual Orientation
CA00-0000015701,1,Unknown,Intimidation,Church/Synagogue/Temple,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000015713,2,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000015793,3,White,Simple Assault,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000015800,3,Hispanic,Destruction/Damage/Vandalism,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016122,4,White,Intimidation,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000016133,5,Unknown,Intimidation,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016143,5,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016156,6,Unknown,Destruction/Damage/Vandalism,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000016163,7,White,Simple Assault,Department/Discount Store,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016172,7,Black or African American,Aggravated Assault,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000016191,8,White,Intimidation,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000016195,9,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000016202,10,Black or African American,Simple Assault,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming
