record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA00-0000012171,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012310,Asian/Pacific Islander,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000012387,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000012458,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000012513,Hispanic,Restaurant,Anti-Gay (Male),Sexual Orientation
CA00-0000012654,White,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000012662,Unknown,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012880,Unknown,Field/Woods/Park,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012884,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012892,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000012934,Black or African American,Hotel/Motel/etc.,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012951,Unknown,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000012981,Unknown,School/college,Anti-Gay (Male),Sexual Orientation
CA00-0000013003,Black or African American,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000013189,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000013205,Asian/Pacific Islander,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000013213,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000013254,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013287,Black or African American,Bar/Night Club,Anti-Gay (Male),Sexual Orientation
CA00-0000013291,Black or African American,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000013387,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000013478,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000013482,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000013496,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013690,White,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000013729,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000013874,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000013889,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014216,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000014229,White,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014233,Black or African American,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA00-0000014619,White,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000014631,White,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation
CA00-0000014640,Unknown,Drug Store/Dr Office/Hospital,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014661,Unknown,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014879,Unknown,Bar/Night Club,Anti-Gay (Male),Sexual Orientation
CA00-0000015701,Unknown,Church/Synagogue/Temple,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000015713,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000015793,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000015800,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016122,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000016133,Unknown,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016143,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016156,Unknown,Restaurant,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000016163,White,Department/Discount Store,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016172,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000016191,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000016195,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000016202,Black or African American,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming
CA00-0000016234,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016238,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016299,Unknown,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016308,Unknown,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA00-0000016365,Unknown,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA00-0000016440,Unknown,Other/Unknown,Anti-Jewish,Religion
CA00-0000016644,East Indian/Asian Indian,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000016653,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000016674,Unknown,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000016820,Hispanic,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000016936,White,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000016947,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000017195,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000017206,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000017274,Unknown,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000017460,Asian/Pacific Islander,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000017467,Black or African American,Hotel/Motel/etc.,Anti-White,Race/Ethnicity/Ancestry
CA00-0000017474,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000017482,Unknown,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000017634,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000017690,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000017824,Black or African American,Restaurant,Anti-Lesbian,Sexual Orientation
CA00-0000017830,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000018068,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000018093,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000018195,Unknown,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000018201,Unknown,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000018402,Unknown,School/college,Anti-Jewish,Religion
CA00-0000018418,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000018733,Unknown,Convenience Store,Anti-Gay (Male),Sexual Orientation
CA00-0000018749,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000018755,Black or African American,Other/Unknown,Anti-Gay (Male),Sexual Orientation
CA00-0000018885,Unknown,Other/Unknown,Anti-Jewish,Religion
CA00-0000019095,Unknown,Hotel/Motel/etc.,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000019107,Unknown,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000019199,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000019479,White,Commercial/Office Building,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000019486,Hispanic,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000019566,Unknown,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000019683,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000019691,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000020297,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020389,Unknown,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000020407,Unknown,Grocery/Supermarket,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000020520,Unknown,Church/Synagogue/Temple,Anti-Catholic,Religion
CA00-0000020615,Unknown,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000021049,Hispanic,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000021142,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000021164,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000021168,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000021175,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000021322,Unknown,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000021594,White,Government/Public Building,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000021692,East Indian/Asian Indian,Bar/Night Club,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000022095,Unknown,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000022127,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000022262,Black or African American,School/college,Anti-Transgender,Gender Nonconforming
CA00-0000022265,White,Government/Public Building,Anti-Jewish,Religion
CA00-0000022429,Unknown,Commercial/Office Building,Anti-Jewish,Religion
CA00-0000022784,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000023325,White,Hotel/Motel/etc.,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000023817,Unknown,Specialty Store (TV/Fur/etc.),Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000023822,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000023896,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000024024,Black or African American,School/college,Anti-White,Race/Ethnicity/Ancestry
CA00-0000024118,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000024221,White,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000024253,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000024367,Unknown,School/college,Anti-Gay (Male),Sexual Orientation
CA00-0000024475,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000024493,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000024636,White,Specialty Store (TV/Fur/etc.),Anti-Gay (Male),Sexual Orientation
CA00-0000024660,White,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion
CA00-0000024955,Black or African American,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000025071,Black or African American,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000025112,Unknown,Restaurant,Anti-Jewish,Religion
CA00-0000025291,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000025341,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000025536,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000025842,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000025864,Unknown,Abandoned/Condemned Structure,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000026103,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000026449,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000026610,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000026659,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000026732,Hispanic,School-College/University,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000027092,Black or African American,Park/Playground,Anti-White,Race/Ethnicity/Ancestry
CA00-0000027133,Hispanic,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000027236,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000027469,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000027722,White,School-College/University,Anti-Gay (Male),Sexual Orientation
CA00-0000027814,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000028620,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000028815,Asian/Pacific Islander,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000028838,Unknown,Residence/Home/Driveway,Anti-Multiple Religions (Group),Religion
CA00-0000028876,White,Park/Playground,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000028954,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000029063,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000029511,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000029765,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000029796,Unknown,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000029856,Asian,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000030013,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000030429,White,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000030498,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000030659,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000031125,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000031595,White,Other/Unknown,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000031603,White,Other/Unknown,Anti-Islamic (Muslim),Religion
CA00-0000031645,Black or African American,Other/Unknown,Anti-Gay (Male),Sexual Orientation
CA00-0000032072,Asian,Government/Public Building,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000032079,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000032082,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000032089,Unknown,Construction Site,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000032099,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Other Christian,Religion
CA00-0000032106,Unknown,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA00-0000032496,Black or African American,Air/Bus/Train Terminal,Anti-Transgender,Gender Nonconforming
CA00-0000032503,White,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000032572,Asian,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000033384,White,Convenience Store,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000033394,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000033397,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000033400,White,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA00-0000033407,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000033414,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000033425,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000033429,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000033443,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000033446,Black or African American,Other/Unknown,Anti-Gay (Male),Sexual Orientation
CA00-0000033826,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000033830,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000033833,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000033907,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000034100,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000034231,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000034427,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000034547,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000034798,White,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000034805,Black or African American,Other/Unknown,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000034808,Unknown,Highway/Road/Alley/Street,Anti-Jewish,Religion
CA00-0000035383,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000035404,Asian,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000035502,Black or African American,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000035636,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000035709,Unknown,Restaurant,Anti-Jewish,Religion
CA00-0000035859,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000035988,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036019,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036026,White,Commercial/Office Building,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036034,White,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036038,White,Convenience Store,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036048,Unknown,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000036203,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036208,Black or African American,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion
CA00-0000036217,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036892,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000001752,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001761,Asian/Pacific Islander,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000001765,Black or African American,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000001774,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001778,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA01-0000001783,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000001787,White,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA01-0000001796,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001808,Unknown,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religion
CA01-0000001819,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001823,White,Bar/Night Club,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000001830,Black or African American,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001834,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001841,Unknown,Commercial/Office Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000001845,White,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001853,Unknown,Bar/Night Club,Anti-White,Race/Ethnicity/Ancestry
CA01-0000001857,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000001866,Asian/Pacific Islander,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000001870,Black or African American,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA01-0000001880,Unknown,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000001888,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000001904,White,Parking Lot/Garage,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000001908,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000001912,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
220077277,Black or African American,Bar/Night Club,Anti-Asian,Race/Ethnicity/Ancestry
220279661,Unknown,Community Center,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation
220346577,Unknown,Community Center,Anti-Jewish,Religion
220655340,White,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
220836910,Black or African American,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
230106656,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
230139516,White,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
230259211,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation
230383393,Unknown,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
230438528,White,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
230531962,Black or African American,Other/Unknown,Anti-Asian,Race/Ethnicity/Ancestry
230667868,White,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation
230738356-4,Unknown,Air/Bus/Train Terminal,Anti-Jewish,Religion
230756392,White,Restaurant,Anti-Jewish,Religion
230824591,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
240063698,White,Highway/Road/Alley/Street,Anti-Mental Disability,Disability
240193110,Asian,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
240282365,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
240323561,Unknown,School-Elementary/Secondary,Anti-Jewish,Religion
240469422,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
240559421,Black or African American,Highway/Road/Alley/Street,Anti-Physical Disability,Disability
240669042,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
250021222,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
250051144,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
250265486,Unknown,School-Elementary/Secondary,Anti-Jewish,Religion
250331093,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
250457097,Black or African American,Other/Unknown,Anti-Islamic (Muslim),Religion
250577162,White,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
250647862,Unknown,Restaurant,Anti-Jewish,Religion
CA00-0000011532,Hispanic,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000011660,Unknown,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion
CA00-0000011747,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000011756,Unknown,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000011984,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000011988,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012177,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000012311,Unknown,Hotel/Motel/etc.,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000012390,White,Bar/Night Club,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012475,Unknown,Government/Public Building,Anti-Jewish,Religion
CA00-0000012483,White,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012515,Black or African American,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012657,White,Bar/Night Club,Anti-Lesbian,Sexual Orientation
CA00-0000012669,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000012673,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000012881,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000012937,Unknown,Commercial/Office Building,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000012952,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000013160,Black or African American,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000013190,White,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000013288,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013292,Unknown,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000013475,Black or African American,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000013625,Black or African American,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000013725,Unknown,School/college,Anti-Jewish,Religion
CA00-0000013735,Unknown,Specialty Store (TV/Fur/etc.),Anti-Gay (Male),Sexual Orientation
CA00-0000013875,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000013882,Hispanic,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000013886,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000014055,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000014208,Unknown,Church/Synagogue/Temple,Anti-Other Religion,Religion
